*	canvasIdentity50: Before Admission
..	welcomeSlip53: Best Option
1.	raceLine31: Pure Interest
2.	showBright40: Key Connect
3.	moreTrust37: First Investment
4.	mixAgreement41: At Work
5.	currentArt37: Design Decision
6.	rightClick38: Compatible Layout
7.	interLog33: New Round
8.	castEngine36: Do It
9.	phoneBooth41: Break Free
10.	decimalSystem54: Digital Only
11.	styleWizard50: Dynamic Role
12.	fullScreen47: Cross Point
13.	teaPot22: Centre Line
14.	moneyProfile56: Right File
15.	oneMore30: Snap It
16.	paperRoller50: Quick Delivery
17.	horizonBlue49: Light Beam
18.	keyTone30: Life Size
19.	rollExpress49: Super Market
20.	trafficOver40: Program Manager
21.	virtualWire44: Easy Fit
22.	trackSpent39: One Day
23.	swipeCart36: Pile Up
24.	zeroTax25: Pay Flat
25.	parseHot32: Full Revision
26.	andCount32: Core Group
::.	worldWebMart53: Plus Items
